Location,Row  ,Distanceft,Distancem,Rep,Type,Injury,Height
W,30,75,22.86,1,Non-covered,1,69
W,30,75,22.86,2,Non-covered,1,62
W,30,75,22.86,3,Non-covered,1,65
W,35,87.5,26.67,1,Non-covered,0,68
W,35,87.5,26.67,2,Non-covered,0,66
W,35,87.5,26.67,3,Non-covered,0,63
W,40,100,30.48,1,Non-covered,0,53
W,40,100,30.48,2,Non-covered,0,58
W,40,100,30.48,3,Non-covered,0,56
W,45,112.5,34.29,1,Non-covered,0,61
W,45,112.5,34.29,2,Non-covered,0,57
W,45,112.5,34.29,3,Non-covered,0,51
W,50,125,38.1,1,Non-covered,0,62
W,50,125,38.1,2,Non-covered,0,62
W,50,125,38.1,3,Non-covered,0,51
W,55,137.5,41.91,1,Non-covered,0,61
W,55,137.5,41.91,2,Non-covered,0,58
W,55,137.5,41.91,3,Non-covered,0,63
W,60,150,45.72,1,Non-covered,0,44
W,60,150,45.72,2,Non-covered,0,51
W,60,150,45.72,3,Non-covered,0,48
S,1,2.5,0.762,1,Covered,1,74
S,1,2.5,0.762,2,Covered,10,67
S,1,2.5,0.762,3,Covered,5,75
S,2,5,1.524,1,Covered,15,77
S,2,5,1.524,2,Covered,1,75
S,2,5,1.524,3,Covered,0,73
S,3,7.5,2.286,1,Covered,0,77
S,3,7.5,2.286,2,Covered,0,81
S,3,7.5,2.286,3,Covered,4,79
S,4,10,3.048,1,Covered,1,78
S,4,10,3.048,2,Covered,1,81
S,4,10,3.048,3,Covered,1,78
S,5,12.5,3.81,1,Covered,1,77
S,5,12.5,3.81,2,Covered,0,81
S,5,12.5,3.81,3,Covered,1,82
S,6,15,4.572,1,Covered,0,79
S,6,15,4.572,2,Covered,0,72
S,6,15,4.572,3,Covered,0,74
S,7,17.5,5.334,1,Covered,1,77
S,7,17.5,5.334,2,Covered,1,81
S,7,17.5,5.334,3,Covered,0,77
S,8,20,6.096,1,Covered,0,78
S,8,20,6.096,2,Covered,1,78
S,8,20,6.096,3,Covered,1,77
S,9,22.5,6.858,1,Covered,1,79
S,9,22.5,6.858,2,Covered,1,80
S,9,22.5,6.858,3,Covered,0,81
S,10,25,7.62,1,Covered,0,80
S,10,25,7.62,2,Covered,0,78
S,10,25,7.62,3,Covered,0,78
S,11,27.5,8.382,1,Covered,1,79
S,11,27.5,8.382,2,Covered,0,81
S,11,27.5,8.382,3,Covered,0,82
S,12,30,9.144,1,Covered,0,74
S,12,30,9.144,2,Covered,1,75
S,12,30,9.144,3,Covered,0,79
S,13,32.5,9.906,1,Covered,0,80
S,13,32.5,9.906,2,Covered,0,82
S,13,32.5,9.906,3,Covered,6,85
S,14,35,10.668,1,Covered,0,75
S,14,35,10.668,2,Covered,1,76
S,14,35,10.668,3,Covered,0,75
S,15,37.5,11.43,1,Covered,0,77
S,15,37.5,11.43,2,Covered,0,78
S,15,37.5,11.43,3,Covered,0,83
